CVE-2025-1176	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1176
CVE-2025-1178	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1178
CVE-2025-1179	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1179
CVE-2025-1180	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1180
CVE-2025-1181	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1181
CVE-2025-1182	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1182
CVE-2025-3198	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-3198
CVE-2025-5244	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-5244
CVE-2025-5245	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-5245
CVE-2025-7545	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-7545
CVE-2025-7546	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-7546
CVE-2025-8224	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-8224
CVE-2025-8225	binutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-8225
CVE-2017-13716	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2017-13716
CVE-2018-20673	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-20673
CVE-2018-20712	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-20712
CVE-2018-9996	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-9996
CVE-2019-1010204	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2019-1010204
CVE-2020-19726	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2020-19726
CVE-2020-35448	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2020-35448
CVE-2021-20197	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-20197
CVE-2021-20284	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-20284
CVE-2021-32256	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-32256
CVE-2021-3530	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3530
CVE-2021-3549	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3549
CVE-2021-3826	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3826
CVE-2021-45078	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-45078
CVE-2021-46174	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-46174
CVE-2021-46195	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-46195
CVE-2022-35205	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-35205
CVE-2022-35206	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-35206
CVE-2022-38533	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-38533
CVE-2022-4285	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-4285
CVE-2022-44840	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-44840
CVE-2022-45703	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-45703
CVE-2022-47007	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47007
CVE-2022-47008	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47008
CVE-2022-47010	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47010
CVE-2022-47011	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47011
CVE-2022-47673	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47673
CVE-2022-47695	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47695
CVE-2022-47696	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-47696
CVE-2022-48063	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-48063
CVE-2022-48064	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-48064
CVE-2022-48065	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2022-48065
CVE-2023-1579	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-1579
CVE-2023-1972	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-1972
CVE-2023-25584	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25584
CVE-2023-25585	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25585
CVE-2023-25586	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25586
CVE-2023-25588	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2023-25588
CVE-2024-53589	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2024-53589
CVE-2024-57360	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2024-57360
CVE-2025-0840	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-0840
CVE-2025-11081	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-11081
CVE-2025-11082	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-11082
CVE-2025-11083	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-11083
CVE-2025-1147	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1147
CVE-2025-1148	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1148
CVE-2025-1149	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1149
CVE-2025-1150	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1150
CVE-2025-1151	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1151
CVE-2025-1152	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1152
CVE-2025-1153	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1153
CVE-2025-1176	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1176
CVE-2025-1178	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1178
CVE-2025-1179	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1179
CVE-2025-1180	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1180
CVE-2025-1181	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1181
CVE-2025-1182	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-1182
CVE-2025-3198	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-3198
CVE-2025-5244	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-5244
CVE-2025-5245	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-5245
CVE-2025-7545	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-7545
CVE-2025-7546	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-7546
CVE-2025-8224	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-8224
CVE-2025-8225	binutils-common	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2025-8225
CVE-2017-13716	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2017-13716
CVE-2018-20673	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-20673
CVE-2018-20712	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-20712
CVE-2018-9996	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-9996
CVE-2019-1010204	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2019-1010204
CVE-2020-19726	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2020-19726
CVE-2020-35448	binutils-x86-64-linux-gnu	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2020-35448
